0-10,20-Oct,20-30,30-40,40-50,50-60,60-70,70-80,80-90,Missing
0,5,29,38,57,34,20,6,0,0
13,21,13,17,11,4,1,0,0,1
0,0,0,0,0,26,23,15,0,2
0,2,8,9,2,3,0,0,0,0
0,0,0,1,3,6,2,0,0,0
0,0,0,2,7,8,4,0,0,0
0,0,0,1,0,1,2,2,0,0
5,3,0,0,0,0,0,0,0,2
0,0,2,2,1,2,0,0,0,0
0,0,0,0,0,0,0,1,0,0
0,0,2,0,0,2,0,0,0,0
0,2,0,1,0,0,0,0,0,0
0,0,0,0,1,1,0,0,0,1
0,0,0,1,1,1,1,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,2,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0
0,0,0,3,0,0,0,0,0,0
0,0,0,0,0,2,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,1,0,0,0,0
0,1,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
9,25,17,17,30,12,7,1,0,0
0,2,10,6,2,1,0,1,0,9
28,62,81,99,118,105,61,27,0,15
